id,direccion,esquina,colonia,alcaldia,boton,altavoz,tipo_de_poste,estatus_conectividad,latitud,longitud,geopoint
0,AV. JUAREZ,ENTRE C. JOSE AZUETA Y C. LUIS MOYA,CENTRO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.435098,-99.14582,"19.435098,-99.14582"
1,AV. JUAREZ,C. LOPEZ,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.434242,-99.14188,"19.434242,-99.14188"
2,C. REPUBLICA DE GUATEMALA,C. LORETO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.434369,-99.127634,"19.434369,-99.127634"
3,CALLE 3,EJE 1 PTE. CALZ. VALLEJO,PORVENIR,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.469535,-99.14477,"19.469535,-99.14477"
4,C. PUREPECHA,C. RIO DE LA LAJA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.548879,-99.159368,"19.548879,-99.159368"
5,C. 16 DE SEPTIEMBRE,ENTRE C. 20 DE NOVIEMBRE Y C. 12 DE OCTUBRE,LOMA DE LA PALMA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.550923,-99.142026,"19.550923,-99.142026"
6,EJE 4 SUR XOLA,EJE 2 PTE. GABRIEL MANCERA,DEL VALLE NORTE,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.396417,-99.161649,"19.396417,-99.161649"
7,C. RIO NILO,ENTRE CDA. RIO NILO Y AV. DE LAS TORRES,LOMAS DE SAN LORENZO,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.325193,-99.065136,"19.325193,-99.065136"
8,C. ADOLFO LOPEZ MATEOS,ENTRE CDA. 20 NOVIEMBRE Y C. 1 DE MAYO,LOMA DE LA PALMA,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.552849,-99.141538,"19.552849,-99.141538"
9,AV. JALISCO PTE.,C. TLAXCALA,BARRIO SANTA MARTHA,MILPA ALTA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.192596,-99.027833,"19.192596,-99.027833"
10,C. LUIS MOYA,ARTICULO 123,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.432563,-99.14514,"19.432563,-99.14514"
11,AV. CENTENARIO,C. ORIENTE 153,SALVADOR DÍAZ MIRÓN,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.487352,-99.102227,"19.487352,-99.102227"
12,AV. INSURGENTES SUR,ENTRE C. JUVENTINO ROSAS Y C. FRANCIA,FLORIDA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.35744,-99.184096,"19.35744,-99.184096"
13,C. PLAZA DE SAN JUAN,C. AYUNTAMIENTO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.430521,-99.14365,"19.430521,-99.14365"
14,C. MIGUEL HIDALGO,C. ALBERTO HERRERA,ARAGÓN LA VILLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.481497,-99.116552,"19.481497,-99.116552"
15,C. ING. BASILIO ROMO ANGUIANO,C. ING. CARLOS DAZA,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.47315,-99.132438,"19.47315,-99.132438"
